GEO (Labels);1990;1991;;1992;;1993;;1994;;1995;;1996;;1997;;1998;;1999;;2000;;2001;;2002;;2003;;2004;;2005;;2006;;2007;;2008;;2009;;2010;;2011;;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;TARGET_FLAG,TARGET;
EU27_2020;;;;;;;;;;;;;;;;;;;;1,81;e;1,82;e;1,83;e;1,83;;1,8;;1,78;;1,8;;1,8;;1,87;;1,97;;1,97;;2,02;;2,08;;2,1;;2,11;;2,13;;2,12;;2,16;;2,18;;2,2;p;;
EU28;;;;;;;;;;;;;;;;;;;;1,77;e;1,78;e;1,79;e;1,79;;1,75;;1,74;;1,76;;1,77;;1,83;;1,93;;1,92;;1,96;;2;;2,02;;2,03;;2,04;;2,04;;2,08;;2,11;;2,14;p;3;
EA19;;;;;;;;;;;;;;;;;;;;1,78;e;1,8;e;1,81;e;1,81;;1,79;;1,78;;1,8;;1,81;;1,89;;1,99;;2;;2,04;;2,1;;2,12;;2,14;;2,15;;2,14;;2,18;;2,21;;2,23;p;;
BE;;;;;;;;;;1,65;;1,74;;1,81;;1,84;;1,91;;1,94;;2,03;;1,9;;1,84;;1,82;;1,79;;1,82;;1,85;;1,94;;2;;2,06;;2,17;;2,28;;2,33;;2,37;;2,43;;2,52;;2,67;;2,67;e;2,89;p;3;
BG;;;;;;;;;;0,43;;0,42;b;0,47;;0,48;;0,54;b;0,5;;0,45;;0,46;;0,47;;0,47;;0,44;;0,44;;0,43;;0,45;;0,49;;0,57;;0,53;;0,6;;0,64;;0,79;;0,95;;0,77;;0,74;;0,76;;0,84;p;1,5;
CZ;;;;;;;;;;0,88;b;0,89;;0,99;;1,06;;1,05;;1,11;;1,1;;1,1;;1,14;;1,14;;1,16;;1,23;;1,3;;1,23;;1,29;;1,33;;1,54;;1,77;;1,88;;1,96;;1,92;;1,67;;1,77;;1,9;;1,94;p;1;
DK;1,52;1,58;;1,61;;1,69;;;;1,79;;1,81;e;1,89;;2,01;;2,13;;2,19;;2,32;;2,44;;2,51;;2,42;;2,39;;2,4;;2,52;b;2,77;;3,06;;2,92;;2,94;;2,98;;2,97;;2,91;;3,06;;3,09;;3,03;p;3,02;p;2,96;p;3;
DE;;2,39;b;2,27;e;2,21;;2,13;e;2,14;;2,14;;2,19;;2,22;;2,35;;2,41;;2,4;;2,44;;2,47;;2,44;;2,44;;2,47;;2,46;;2,62;;2,74;;2,73;;2,81;;2,88;;2,84;;2,88;;2,93;;2,94;;3,05;;3,12;;3,17;e;3;
EE;;;;;;;;;;;;;;;;0,57;;0,68;;0,6;;0,7;;0,71;;0,76;;0,85;;0,92;;1,11;;1,06;;1,25;;1,39;;1,57;;2,28;;2,11;;1,71;;1,42;;1,46;;1,23;;1,28;;1,41;;1,61;p;3;
IE;;;;;;;;;;1,23;e;1,27;e;1,24;e;1,21;;1,15;e;1,08;;1,05;;1,06;;1,12;;1,18;;1,19;;1,2;;1,23;;1,39;;1,61;e;1,59;e;1,56;e;1,56;e;1,57;e;1,52;;1,18;;1,17;;1,22;;1,14;;0,78;;2;
EL;;;;;;;;;;0,42;b;;;0,43;;;;0,57;;;;0,56;;;;0,55;;0,53;e;0,58;;0,56;e;0,58;e;0,66;be;0,63;e;0,6;e;0,68;;0,71;;0,82;;0,84;;0,97;;1,01;;1,15;;1,21;;1,27;p;1,2;
ES;;;;;;;;;;0,77;;0,79;e;0,78;;0,85;;0,84;;0,88;;0,89;;0,96;;1,02;;1,04;;1,1;;1,18;;1,24;;1,33;;1,36;;1,36;;1,33;;1,3;;1,28;;1,24;;1,22;;1,19;;1,21;;1,24;;1,25;p;2;
FR;2,27;2,28;;2,28;;2,32;;2,27;;2,24;;2,22;;2,15;b;2,09;;2,11;;2,09;b;2,14;;2,17;;2,12;;2,09;b;2,05;;2,05;;2,02;;2,06;;2,21;;2,18;b;2,19;;2,23;;2,24;;2,23;;2,27;p;2,22;;2,2;p;2,2;p;2,19;e;3;
HR;;;;;;;;;;;;;;;;;;;;;;;;0,95;;0,95;;1,03;;0,86;;0,74;;0,79;;0,89;;0,84;;0,74;;0,75;;0,75;;0,81;;0,78;;0,84;;0,86;;0,86;;0,97;;1,11;p;1,4;
IT;;;;;;;;;;0,93;;0,95;;0,99;b;1;;0,98;;1;;1,04;;1,08;;1,06;;1,05;;1,04;;1,08;;1,13;;1,16;;1,22;;1,22;;1,2;;1,26;;1,3;;1,34;e;1,34;;1,37;b;1,37;;1,42;;1,45;p;1,53;
CY;;;;;;;;;;;;;;;;0,2;;0,22;;0,23;;0,24;;0,28;;0,32;;0,34;;0,37;;0,38;;0,4;;0,39;;0,44;;0,44;;0,45;;0,44;;0,49;;0,51;;0,48;;0,52;;0,55;;0,62;;0,63;p;0,5;
LV;;;;;;;;;;0,43;;0,4;;0,37;;0,38;;0,35;;0,44;;0,4;;0,41;;0,36;;0,4;;0,53;;0,65;;0,55;;0,58;;0,45;;0,61;;0,69;;0,66;;0,61;;0,69;;0,62;;0,44;;0,51;;0,64;;0,64;p;1,5;
LT;;;;;;;;;;0,43;;0,49;b;0,54;;0,54;;0,5;;0,59;;0,67;;0,66;;0,66;;0,75;;0,75;;0,79;;0,8;;0,79;;0,83;;0,78;;0,9;;0,89;;0,95;;1,03;;1,04;;0,84;;0,9;;0,94;;0,99;p;1,9;
LU;;;;;;;;;;;;;;;;;;;;1,58;;;;;;1,63;;1,6;;1,57;;1,67;;1,59;e;1,62;;1,68;;1,5;;1,46;;1,27;b;1,3;;1,27;;1,3;;1,3;;1,27;;1,17;;1,19;p;2,3;
HU;;;;;;;;;;0,71;d;0,63;d;0,7;d;0,66;d;0,67;d;0,79;d;0,91;d;0,98;d;0,92;d;0,86;b;0,92;;0,98;;0,96;;0,98;;1,13;;1,13;;1,18;;1,26;;1,39;;1,35;;1,34;;1,18;;1,32;;1,51;b;1,48;;1,8;
MT;;;;;;;;;;;;;;;;;;;;;;;;0,25;;0,24;;0,49;b;0,53;;0,58;;0,55;;0,53;;0,51;;0,59;;0,67;;0,8;;0,74;;0,69;;0,72;;0,56;;0,57;;0,6;;0,61;p;2;
NL;;;;;;;;;;1,82;;1,84;b;1,84;;1,74;;1,82;b;1,79;;1,8;;1,75;;1,78;;1,79;;1,77;;1,74;;1,67;;1,62;;1,67;;1,7;;1,88;b;1,92;b;2,16;b;2,17;;2,15;;2,15;;2,18;;2,14;;2,16;p;2,5;
AT;;;;;;;;;;1,53;e;1,58;e;1,66;e;1,73;;1,85;e;1,89;e;1,99;e;2,07;;2,17;e;2,17;;2,37;e;2,36;;2,42;;2,57;e;2,6;;2,73;e;2,67;;2,91;e;2,95;;3,08;e;3,05;;3,12;e;3,06;;3,14;p;3,19;p;3,76;
PL;;;;;;;;;;0,62;b;0,64;;0,64;;0,66;;0,68;;0,64;;0,62;;0,56;;0,54;;0,55;;0,56;;0,55;;0,56;;0,6;;0,66;;0,72;;0,75;;0,88;;0,88;;0,94;;1;;0,96;;1,03;;1,21;;1,32;;1,7;
PT;;;;;;;;;;0,52;;0,55;e;0,56;;0,62;;0,68;;0,72;e;0,76;;0,72;e;0,7;;0,73;e;0,76;;0,95;e;1,12;;1,44;b;1,58;;1,54;;1,46;;1,38;;1,32;;1,29;;1,24;;1,28;;1,32;;1,35;;1,4;p;2,7;
RO;;;;;;;;;;0,76;b;0,67;;0,57;;0,5;;0,4;;0,37;;0,39;;0,38;;0,4;;0,39;;0,41;;0,46;;0,51;;0,55;;0,44;;0,46;;0,5;b;0,49;;0,39;;0,38;;0,49;;0,48;;0,5;;0,5;;0,48;;2;
SI;;;;;;;;;;1,49;e;1,26;;1,25;;1,31;;1,34;;1,36;;1,47;;1,44;;1,25;;1,37;;1,42;;1,54;;1,43;;1,63;b;1,81;;2,05;;2,41;b;2,56;;2,56;;2,37;;2,2;;2,01;;1,87;;1,95;;2,04;p;3;
SK;;;;;;;;;;0,9;;0,89;;1,05;b;0,77;;0,64;;0,64;;0,62;;0,56;;0,56;;0,5;;0,49;;0,47;;0,45;;0,46;;0,47;;0,61;;0,66;;0,8;;0,82;;0,88;;1,16;;0,79;;0,89;;0,84;;0,83;;1,2;
FI;1,82;1,97;b;2,06;e;2,1;;2,21;;2,2;;2,45;e;2,62;;2,78;;3,06;;3,24;;3,19;;3,25;;3,3;;3,31;;3,32;;3,33;;3,34;;3,54;;3,73;;3,71;;3,62;;3,4;;3,27;;3,15;;2,87;;2,72;;2,73;;2,76;;2,79;;4;
SE;;;;;;2,96;be;;;3,1;be;;;3,27;e;;;3,38;e;;;3,87;e;;;3,58;e;3,36;e;3,36;b;3,48;e;3,23;;3,47;e;3,4;;3,17;e;3,19;;3,23;e;3,26;e;3,1;e;3,22;;3,25;p;3,36;;3,32;;3,39;ep;4;
IS;;;;;;;;;;1,51;;;;1,8;;1,95;;2,24;;2,58;e;2,85;;2,83;e;2,71;;;;2,69;;2,89;;2,55;;2,49;;2,6;;;;2,41;be;;;1,7;b;1,95;;2,2;;2,13;;2,11;;2,04;;2,38;;;
NO;;1,6;;;;1,67;;;;1,65;b;;;1,59;;;;1,61;;;;1,56;;1,63;;1,68;;1,54;;1,48;;1,46;;1,56;;1,55;;1,72;;1,65;;1,63;;1,62;;1,65;;1,72;;1,94;;2,04;;2,1;;2,06;;2,22;p;;
CH;;;;2,38;;;;;;;;2,37;;;;;;;;2,26;;;;;;;;2,6;;;;;;;;2,64;;;;;;;;3,08;;;;;;3,26;;;;3,18;;;;;;;
UK;1,95;1,87;;1,84;b;1,86;;1,84;;1,65;;1,58;;1,54;;1,55;;1,63;;1,62;;1,61;;1,62;;1,58;;1,54;;1,56;;1,58;;1,62;;1,61;e;1,67;e;1,64;e;1,65;b;1,58;e;1,62;;1,64;e;1,65;;1,66;e;1,68;;1,73;;1,76;p;;
ME;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,31;;;;0,37;;0,36;;0,37;;0,32;;0,35;;0,5;;;;;
MK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,44;;0,44;;0,35;;0,36;;0,37;;;
